method,repeat,k_text,k_audio,k_vision,sample_index,sample_id,baseline,class_probability,hybrid_final_intensity,classification_probability_drop,regression_absolute_delta
random,46,15,10,5,4,04,missing,0.3332757353782654,0.4386511614561081,0.23545867204666138,0.48792524133622645
random,47,15,10,5,4,04,missing,0.3500567078590393,0.2902589304983616,0.21867769956588745,0.33953301037847994
random,48,15,10,5,4,04,missing,0.35821548104286194,0.4595924153566361,0.21051892638206482,0.5088664952367544
random,49,15,10,5,4,04,missing,0.37903329730033875,0.3838564915299416,0.189701110124588,0.43313057141005995
random,50,15,10,5,4,04,missing,0.39149209856987,0.3793690838158131,0.17724230885505676,0.4286431636959314
top,0,5,11,10,5,05,missing,0.22455038130283356,0.13979898298680785,0.3602965921163559,0.35569258667528636
random,1,5,11,10,5,05,missing,0.3849501311779022,0.2748829998314381,0.19989684224128723,0.22060856983065608
random,2,5,11,10,5,05,missing,0.3386889398097992,0.2968800701439381,0.24615803360939026,0.1986114995181561
random,3,5,11,10,5,05,missing,0.3247825503349304,0.24751863899230958,0.26006442308425903,0.2479729306697846
random,4,5,11,10,5,05,missing,0.3474479913711548,0.2774566463172436,0.23739898204803467,0.21803492334485058
random,5,5,11,10,5,05,missing,0.4775051474571228,0.3995403596997261,0.10734182596206665,0.09595120996236806
random,6,5,11,10,5,05,missing,0.3752516508102417,0.3636411785423756,0.20959532260894775,0.13185039111971858
random,7,5,11,10,5,05,missing,0.4132694900035858,0.3480672151684761,0.17157748341560364,0.14742435449361807
random,8,5,11,10,5,05,missing,0.38515082001686096,0.2871133655548096,0.1996961534023285,0.20837820410728458
random,9,5,11,10,5,05,missing,0.3747405409812927,0.2919747127234936,0.21010643243789673,0.20351685693860055
random,10,5,11,10,5,05,missing,0.4419514536857605,0.3614194529592991,0.14289551973342896,0.13407211670279506
random,11,5,11,10,5,05,missing,0.37990936636924744,0.2610688289344311,0.20493760704994202,0.23442274072766306
random,12,5,11,10,5,05,missing,0.4100533723831177,0.4407408831357956,0.17479360103607178,0.05475068652629855
random,13,5,11,10,5,05,missing,0.38480061292648315,0.2471446726858616,0.2000463604927063,0.24834689697623258
random,14,5,11,10,5,05,missing,0.42302045226097107,0.2716934246361256,0.16182652115821838,0.22379814502596856
random,15,5,11,10,5,05,missing,0.3822428584098816,0.2688777888953686,0.20260411500930786,0.22661378076672556
random,16,5,11,10,5,05,missing,0.4142863154411316,0.36064955549836164,0.17056065797805786,0.13484201416373254
random,17,5,11,10,5,05,missing,0.44332873821258545,0.3839444583296776,0.141518235206604,0.11154711133241657
random,18,5,11,10,5,05,missing,0.29893481731414795,0.17136477888524534,0.2859121561050415,0.3241267907768488
random,19,5,11,10,5,05,missing,0.4161055386066437,0.3146316951453686,0.16874143481254578,0.18085987451672558
random,20,5,11,10,5,05,missing,0.3700740337371826,0.2884551814734936,0.21477293968200684,0.2070363881886006
random,21,5,11,10,5,05,missing,0.3297274708747864,0.2577032664358616,0.2551195025444031,0.23778830322623257
random,22,5,11,10,5,05,missing,0.366627037525177,0.2793703806936741,0.21821993589401245,0.21612118896842009
random,23,5,11,10,5,05,missing,0.4270586371421814,0.35290657063722614,0.15778833627700806,0.14258499902486804
random,24,5,11,10,5,05,missing,0.31694266200065613,0.1661624663859606,0.2679043114185333,0.3293291032761336
random,25,5,11,10,5,05,missing,0.4113021492958069,0.23249462922811512,0.17354482412338257,0.26299694043397903
random,26,5,11,10,5,05,missing,0.2982194721698761,0.19506660872101786,0.28662750124931335,0.3004249609410763
random,27,5,11,10,5,05,missing,0.3249545991420746,0.3129379046201706,0.25989237427711487,0.18255366504192355
random,28,5,11,10,5,05,missing,0.3421361446380615,0.1291083987593651,0.24271082878112793,0.3663831709027291
random,29,5,11,10,5,05,missing,0.3882844150066376,0.2607388728797436,0.19656255841255188,0.23475269678235056
random,30,5,11,10,5,05,missing,0.3346914052963257,0.31377383088469507,0.25015556812286377,0.1817177387773991
