scenario_id,scenario,modality_combination,missing_rate_percent,missing_rate_target,position,accuracy,macro_f1,weighted_f1,mae,pearson,recall_negative,recall_neutral,recall_positive,f1_negative,f1_neutral,f1_positive,mae_negative,mae_neutral,mae_positive,composite_score
59,T+A_50_Middle,T+A,50,0.5,Middle,0.5013736263736264,0.4881467726893886,0.5060671102372765,0.9139645084800138,0.3288091754034736,0.30097087378640774,0.7065217391304348,0.5118343195266272,0.42758620689655175,0.4553415061295972,0.5815126050420169,0.9089326456333827,0.655183637595695,1.0579060587436842,0.5034186845766211
60,T+A_50_Tail,T+A,50,0.5,Tail,0.5274725274725275,0.4946287453642615,0.5220467235896256,0.8825870343473751,0.3107496167644626,0.27184466019417475,0.592391304347826,0.6479289940828402,0.4014336917562724,0.4448979591836735,0.6375545851528385,1.06427876126853,0.6516297388740856,0.8975800716885801,0.5096638028713649
61,T+V_10_Head,T+V,10,0.1,Head,0.6043956043956044,0.5839620226208507,0.604611009078352,0.8627042647164601,0.4406923890781223,0.6359223300970874,0.44565217391304346,0.6715976331360947,0.6328502415458938,0.4444444444444444,0.674591381872214,1.0495334838706891,0.8191267726133051,0.7725605943058369,0.5853704819639394
62,T+V_10_Middle,T+V,10,0.1,Middle,0.6016483516483516,0.584351438877301,0.6039442568075573,0.8558785793381732,0.4273956717076456,0.6262135922330098,0.4673913043478261,0.6597633136094675,0.6354679802955665,0.4479166666666667,0.6696696696696697,0.9415769178456473,0.7599993121364842,0.8558428616830583,0.5820256506134769
63,T+V_10_Tail,T+V,10,0.1,Tail,0.6112637362637363,0.5887774710355355,0.6097104931383556,0.8680027741120084,0.41793030036792933,0.6213592233009708,0.44021739130434784,0.6982248520710059,0.6352357320099256,0.45,0.6810966810966811,1.0130999996824173,0.8037271678609692,0.8145610080844552,0.5821593124074662
64,T+V_20_Head,T+V,20,0.2,Head,0.603021978021978,0.5862941664906488,0.6064400205189107,0.8782221275166824,0.40503658430872486,0.5970873786407767,0.4891304347826087,0.6686390532544378,0.6275510204081632,0.45569620253164556,0.6756352765321375,1.0700843051726956,0.8109981616877991,0.797883669278149,0.5754030049122811
65,T+V_20_Middle,T+V,20,0.2,Middle,0.5961538461538461,0.5827943158394941,0.6023966110679642,0.873029706262789,0.40312301964363784,0.5776699029126213,0.5163043478260869,0.650887573964497,0.6230366492146597,0.4556354916067146,0.669710806697108,0.9596617166857118,0.7696317608022819,0.8765179542438871,0.5727653198873455
66,T+V_20_Tail,T+V,20,0.2,Tail,0.5906593406593407,0.5710343721438756,0.5916769867999545,0.869363150600303,0.4048093817531021,0.5825242718446602,0.44565217391304346,0.6745562130177515,0.6185567010309279,0.43271767810026385,0.6618287373004355,1.0034472504359426,0.767408419886361,0.8431452390181242,0.5691788444223876
67,T+V_30_Head,T+V,30,0.3,Head,0.6126373626373627,0.5990754396210949,0.6178946233061176,0.879357137338637,0.3812723235342119,0.5631067961165048,0.5597826086956522,0.6715976331360947,0.6219839142091153,0.49047619047619045,0.6847662141779789,1.0934633903060724,0.7572833719136922,0.8153207016194007,0.574966520003281
68,T+V_30_Middle,T+V,30,0.3,Middle,0.5782967032967034,0.5700400143277727,0.588191111960657,0.8803692254452751,0.38858129063883934,0.5194174757281553,0.5652173913043478,0.621301775147929,0.6028169014084507,0.45614035087719296,0.6511627906976745,0.94720882803057,0.7500781624618432,0.9105603421801294,0.5608653999453892
69,T+V_30_Tail,T+V,30,0.3,Tail,0.5755494505494505,0.5576236628868209,0.5777767152839449,0.887793490345907,0.35248960489123027,0.5145631067961165,0.4782608695652174,0.665680473372781,0.5824175824175825,0.44110275689223055,0.6493506493506493,1.039243825684184,0.737536675458693,0.8772860491020087,0.5474328887197164
70,T+V_40_Head,T+V,40,0.4,Head,0.5934065934065934,0.5792498312871955,0.6000429248723331,0.8879001760998597,0.3549104042665869,0.47572815533980584,0.6086956521739131,0.6568047337278107,0.5697674418604651,0.4890829694323144,0.6788990825688074,1.1011487466907037,0.7527539054255771,0.831502863266588,0.557900025898439
71,T+V_40_Middle,T+V,40,0.4,Middle,0.5590659340659341,0.5441170304811346,0.5651729349629936,0.8819211262820678,0.3780630774375828,0.3932038834951456,0.6304347826086957,0.621301775147929,0.5126582278481012,0.4715447154471545,0.6481481481481481,0.9319540866587347,0.6993547952531473,0.9508128868493103,0.5468180833059906
72,T+V_40_Tail,T+V,40,0.4,Tail,0.5769230769230769,0.5569023601015812,0.5791658935745583,0.898857344791375,0.3195128898635906,0.45145631067961167,0.5163043478260869,0.6863905325443787,0.5585585585585585,0.45023696682464454,0.6619115549215406,1.0976676773822422,0.7194615777015038,0.8753481513914272,0.5384298029894476
73,T+V_50_Head,T+V,50,0.5,Head,0.5521978021978022,0.5336472218037692,0.5552565474587384,0.9208747877299295,0.29267359988776737,0.3446601941747573,0.6684782608695652,0.6153846153846154,0.47651006711409394,0.48046875,0.6439628482972136,1.1121296303220165,0.7036222902976949,0.9225788171783355,0.5178900903281739
74,T+V_50_Middle,T+V,50,0.5,Middle,0.5041208791208791,0.4802831103632244,0.5036541231326983,0.9117604414983601,0.32725630318151694,0.2621359223300971,0.6630434782608695,0.5650887573964497,0.391304347826087,0.4460694698354662,0.6034755134281201,0.951781829077642,0.6807375050595273,1.013132673638636,0.5019350363748751
75,T+V_50_Tail,T+V,50,0.5,Tail,0.532967032967033,0.48848134954375283,0.5195231572303701,0.9099546530396565,0.2943857173883024,0.25728155339805825,0.5217391304347826,0.7071005917159763,0.38267148014440433,0.43243243243243246,0.6503401360544218,1.1021488646714432,0.7070464983015604,0.903277413026821,0.5031289705548008
76,A+V_10_Head,A+V,10,0.1,Head,0.6126373626373627,0.5937293087200063,0.6134759313019076,0.8544996232715446,0.44789461389464397,0.6504854368932039,0.46195652173913043,0.6715976331360947,0.6457831325301204,0.45576407506702415,0.6796407185628742,0.9565163626905205,0.7995945060949611,0.8222129168815514,0.5923570193737078
