sample_index,sample_id,baseline,phi_T_cls,phi_T_reg,contribution_T_cls,contribution_T_reg,combined_contribution_T,phi_A_cls,phi_A_reg,contribution_A_cls,contribution_A_reg,combined_contribution_A,phi_V_cls,phi_V_reg,contribution_V_cls,contribution_V_reg,combined_contribution_V,main_modality,TEXT_MISSING_OOD_CAUTION,zero_missing_main_modality_agreement
41,128059$_$7,zero,0.2378540039062499,-0.336834716796875,0.44004065040650403,0.3673182777234214,0.4036794640649627,0.0762939453125,0.0964935302734375,0.14114724480578145,0.10522620022230654,0.123186722514044,0.2263793945312499,-0.4836822509765625,0.4188121047877145,0.527455522054272,0.47313381342099325,V,False,False
42,128059$_$6,zero,3.1365356445312496,-0.6610841115315755,0.7130230880230879,0.5002494522874511,0.6066362701552694,-0.0751953125,0.0318482081095377,0.017094017094017096,0.024099881369440575,0.020596949231728834,1.18719482421875,-0.6285765965779623,0.2698828948828949,0.47565066634310843,0.37276678061300167,T,False,True
43,128059$_$9,zero,1.7439371744791667,-0.34033203125,0.5290385493686199,0.3201065490952512,0.42457254923193555,-0.1086629231770833,0.0200683593749999,0.0329638453087776,0.018875723339762927,0.025919784324270265,1.4438273111979163,-0.7027832031250001,0.4379976053226025,0.6610177275649858,0.5495076664437941,V,False,False
44,128763$_$12,zero,1.8190104166666663,-0.6631754557291667,0.8467949689346871,0.9704891090759687,0.9086420390053279,-0.0712483723958333,0.0014363606770833,0.03316790422791331,0.0021019662018125253,0.017634935214862917,0.2578531901041666,-0.0187296549479166,0.1200371268373996,0.027408924722218824,0.07372302577980921,T,False,False
45,128763$_$3,zero,5.816446940104167,-2.01973876953125,0.9415302130126069,0.8528051954745768,0.8971677042435918,-0.0338948567708333,0.0056579589843749,0.005486688358735883,0.0023889905419683627,0.003937839450352123,0.3273111979166667,-0.342950439453125,0.052983098628657244,0.14480581398345488,0.09889445630605606,T,False,True
46,128763$_$2,zero,1.4026082356770837,-0.4470174153645834,0.8879801128313456,0.5407138708693042,0.7143469918503249,-0.0527140299479166,0.0065226236979166,0.03337283289110998,0.007889789047811156,0.020631310969460567,0.1242268880208333,-0.3731770833333333,0.07864705427754447,0.4513963400828846,0.2650216971802145,T,False,False
47,128763$_$5,zero,1.9986572265625,-0.2154378255208333,0.8456691286607096,0.3535389957264957,0.5996040621936027,-0.0396728515625,-0.0270589192708333,0.016786323020505138,0.044404380341880295,0.030595351681192717,0.3250732421875,-0.3668782552083333,0.13754454831878518,0.602056623931624,0.36980058612520456,T,False,False
48,128763$_$7,zero,4.713541666666667,-1.366796875,0.9139683140819288,0.8148579413134607,0.8644131276976947,0.0611979166666666,-0.0476562499999999,0.011866439436975306,0.02841173730787139,0.02013908837242335,0.3824869791666666,-0.262890625,0.07416524648109572,0.1567303213786679,0.11544778392988181,T,False,True
49,128763$_$8,zero,3.865152994791667,-0.9522379557291668,0.8387193614466341,0.6228229858627151,0.7307711736546746,0.3490397135416667,-0.1523356119791667,0.07573991664900755,0.09963698688468746,0.0876884517668475,0.3942057291666666,-0.4243326822916667,0.08554072190435823,0.2775400272525975,0.18154037457847788,T,False,True
50,130456$_$11,zero,2.34637451171875,-0.7286254882812501,0.666348887194065,0.5355482979525186,0.6009485925732918,-0.153076171875,0.0849487304687499,0.04347223185190321,0.06243831535880266,0.05295527360535293,1.02178955078125,-0.5469482421875,0.29017888095403177,0.4020133866886788,0.3460961338213553,T,False,True
