sample_index,sample_id,baseline,main_modality,comparison,n_candidates,top20_k,top20_jaccard,position_spearman
92,241629$_$8,zero,T,w1_vs_w5,48,10,0.1111111111111111,0.45140453399732683
93,243646$_$11,zero,T,w1_vs_w3,19,4,0.6,0.6842105263157895
93,243646$_$11,zero,T,w3_vs_w5,19,4,1.0,0.5473684210526315
93,243646$_$11,zero,T,w1_vs_w5,19,4,0.6,0.27543859649122804
94,243646$_$12,zero,T,w1_vs_w3,48,10,0.42857142857142855,0.6295934439063756
94,243646$_$12,zero,T,w3_vs_w5,48,10,0.8181818181818182,0.9425749023013461
94,243646$_$12,zero,T,w1_vs_w5,48,10,0.42857142857142855,0.5598979544697185
95,243646$_$9,zero,T,w1_vs_w3,1,1,1.0,0.0
95,243646$_$9,zero,T,w3_vs_w5,1,1,1.0,0.0
95,243646$_$9,zero,T,w1_vs_w5,1,1,1.0,0.0
96,243646$_$8,zero,T,w1_vs_w3,12,3,0.2,-0.21678321678321683
96,243646$_$8,zero,T,w3_vs_w5,12,3,0.5,0.3356643356643357
96,243646$_$8,zero,T,w1_vs_w5,12,3,0.2,-0.3076923076923077
97,247318$_$12,zero,T,w1_vs_w3,13,3,0.5,0.7417582417582418
97,247318$_$12,zero,T,w3_vs_w5,13,3,1.0,0.9285714285714285
97,247318$_$12,zero,T,w1_vs_w5,13,3,0.5,0.6593406593406593
98,247318$_$1,zero,V,w1_vs_w3,16,4,0.6,0.4588235294117647
98,247318$_$1,zero,V,w3_vs_w5,16,4,0.3333333333333333,0.7911764705882354
98,247318$_$1,zero,V,w1_vs_w5,16,4,0.3333333333333333,0.3205882352941176
99,247318$_$3,zero,T,w1_vs_w3,5,1,0.0,0.6
99,247318$_$3,zero,T,w3_vs_w5,5,1,0.0,0.0
99,247318$_$3,zero,T,w1_vs_w5,5,1,0.0,0.0
100,247318$_$2,zero,V,w1_vs_w3,17,4,0.6,0.8676470588235294
100,247318$_$2,zero,V,w3_vs_w5,17,4,0.14285714285714285,0.8259803921568629
100,247318$_$2,zero,V,w1_vs_w5,17,4,0.14285714285714285,0.6838235294117648
101,247318$_$5,zero,T,w1_vs_w3,19,4,0.6,0.6087719298245614
101,247318$_$5,zero,T,w3_vs_w5,19,4,0.3333333333333333,0.24035087719298245
101,247318$_$5,zero,T,w1_vs_w5,19,4,0.3333333333333333,-0.07368421052631578
102,247318$_$7,zero,T,w1_vs_w3,6,2,0.3333333333333333,0.7142857142857143
102,247318$_$7,zero,T,w3_vs_w5,6,2,0.0,0.50709255283711
102,247318$_$7,zero,T,w1_vs_w5,6,2,0.3333333333333333,0.6761234037828132
103,247318$_$6,zero,T,w1_vs_w3,5,1,0.0,-0.7
103,247318$_$6,zero,T,w3_vs_w5,5,1,0.0,0.0
103,247318$_$6,zero,T,w1_vs_w5,5,1,1.0,0.0
104,252998$_$1,zero,T,w1_vs_w3,18,4,0.3333333333333333,0.5913312693498451
104,252998$_$1,zero,T,w3_vs_w5,18,4,0.3333333333333333,0.8513931888544891
104,252998$_$1,zero,T,w1_vs_w5,18,4,0.6,0.45098039215686275
105,252998$_$0,zero,T,w1_vs_w3,14,3,0.5,0.5736263736263736
105,252998$_$0,zero,T,w3_vs_w5,14,3,1.0,0.9868131868131869
105,252998$_$0,zero,T,w1_vs_w5,14,3,0.5,0.5604395604395604
106,252998$_$5,zero,T,w1_vs_w3,41,9,0.5,0.7069255170312165
106,252998$_$5,zero,T,w3_vs_w5,41,9,0.8,0.9601045296167249
106,252998$_$5,zero,T,w1_vs_w5,41,9,0.5,0.7002061904281548
107,252998$_$4,zero,T,w1_vs_w3,48,10,0.42857142857142855,0.7334654112940769
